date,home,away,home_points,away_points,location,event
4/21/2018,Doggs,St. Johns,,,"St. Cloud, MN",All Saints
4/21/2018,Doggs,UND,,,"St. Cloud, MN",All Saints
4/7/2018,,,,,"Des Moines, IA",Crossroads 7s
3/24/2018,UNI,Doggs,,,"Cedar Falls, IA",Spring Scrimmage
3/17/2018,Rochester Men's,Doggs,,,"Rochester, MN",Spring Scrimmage
10/28/2017,Doggs,St. Johns,25,28,"Rochester, MN",Fall Regular Season
10/21/2017,Doggs,UMD,22,33,"Winona, MN",Fall Regular Season
10/7/2017,St. Thomas,Doggs,5,48,"St. Paul, MN",Fall Regular Season
9/10/2017,Doggs,U of M,7,19,"Otsego, MN",All MN
9/9/2017,Doggs,St. Johns,26,12,"Otsego, MN",All MN
9/9/2017,Doggs,UND,17,0,"Otsego, MN",All MN
4/22/2017,Doggs,Platteville,,,"Winona, MN",Fool's Fest 7s
4/22/2017,Doggs,St. Johns,,,"Winona, MN",Fool's Fest 7s
4/22/2017,Doggs,UMD,,,"Winona, MN",Fool's Fest 7s
4/8/2017,UNI,Doggs,,,"Cedar Falls, IA",UNI 7s
4/1/2017,Doggs,St. Paul Pigs,,,"Winona, MN",Spring Scrimmage
3/25/2017,Doggs,UW La Crosse,,,"Winona, MN",Spring Scrimmage
3/18/2017,St. Johns,Doggs,,,"Collegeville, MN",Spring Scrimmage
10/30/2016,Doggs,St. Cloud,96,0,"Rochester, MN",Final Four
10/29/2016,Doggs,NDSU,5,17,"Rochester, MN",Final Four
10/15/2016,Doggs,UNI,64,12,"Winona, MN",Fall Regular Season
10/8/2016,Bemidji,Doggs,14,47,"Bemidji, MN",Fall Regular Season
10/2/2016,UMD,Doggs,36,19,"Duluth, MN",Fall Regular Season
9/25/2016,Doggs,UND,97,5,"Winona, MN",Fall Regular Season
9/10/2016,Doggs,Moorhead,,,"Otsego, MN",All MN
4/30/2016,Doggs,Alumni,,,"Winona, MN",27th Alumni Celebration
4/23/2016,Doggs,St. Thomas,,,"Winona, MN",Spring Scrimmage
4/16/2016,,,,,"Rochester, MN",Fool's Fest 7s
4/9/2016,Doggs,St. Paul Pigs,,,"Winona, MN",Spring Scrimmage
4/2/2016,St. Johns,Doggs,,,"Collegeville, MN",Spring Scrimmage
11/14/2015,Doggs,Colorado School of Mines,L,W,"Lincoln, NE",National Tournament Play-In
11/8/2015,UMD,Doggs,64,0,,Norhtern Lights Playoffs
11/7/2015,Doggs,NDSU,20,19,,Norhtern Lights Playoffs
10/24/2015,NDSU,Doggs,5,12,"Fargo, ND",Fall Regular Season
10/17/2015,Doggs,Mankato,59,22,"Winona, MN",Fall Regular Season
10/10/2015,UMD,Doggs,35,7,"Duluth, MN",Fall Regular Season
10/3/2015,Doggs,UND,72,5,"Winona, MN",Fall Regular Season
9/25/2015,St. Cloud,Doggs,3,60,"St. Cloud, MN",Fall Regular Season
9/19/2015,Doggs,Gustavus,W,L,"Winona, MN",Fall Scrimmage
2024-11-05,UM Duluth,Home,Win,35-24,2024-2025
2024-10-22,Minnesota State,Away,Loss,17-21,2024-2025
2024-10-08,St. Mary's University,Home,Win,45-12,2024-2025
2024-09-24,UW Stevens Point,Away,Win,33-19,2024-2025
2024-09-10,UW Stout,Home,Win,40-22,2024-2025
2024-04-28,UW Madison,Away,Win,27-22,2023-2024
2024-04-14,St. Cloud State,Home,Win,33-15,2023-2024
2024-03-31,St. John's University,Home,Loss,20-25,2023-2024
2024-03-17,UW La Crosse,Home,Win,38-10,2023-2024
2024-03-03,Minnesota State,Away,Loss,19-27,2023-2024
2023-11-11,UW Eau Claire,Away,Win,44-17,2023-2024
2023-11-04,Bemidji State,Home,Win,35-18,2023-2024
2023-10-21,UM Duluth,Away,Loss,21-28,2023-2024
2023-10-07,UW Stout,Away,Win,29-15,2023-2024
2023-09-23,St. Mary's University,Home,Win,41-12,2023-2024
